"day","aliveThatDay","diedThatDay","totalDeaths",
"607","56","0","889",
"608","54","2","891",
"609","53","3","894",
"610","53","1","895",
"611","53","2","897",
"612","51","2","899",
"613","50","3","902",
"614","50","2","904",
"615","50","2","906",
"616","49","1","907",
"617","50","1","908",
"618","48","4","912",
"619","50","1","913",
"620","51","0","913",
"621","52","0","913",
"622","53","2","915",
"623","53","2","917",
"624","52","2","919",
"625","52","1","920",
"626","49","3","923",
"627","46","3","926",
"628","47","1","927",
"629","50","0","927",
"630","50","1","928",
"631","48","3","931",
"632","48","1","932",
"633","48","1","933",
"634","49","1","934",
"635","48","2","936",
"636","49","0","936",
"637","53","0","936",
"638","51","2","938",
"639","53","2","940",
"640","50","5","945",
"641","49","1","946",
"642","49","1","947",
"643","51","1","948",
"644","50","2","950",
"645","49","2","952",
"646","51","0","952",
"647","52","1","953",
"648","51","1","954",
"649","52","2","956",
"650","50","3","959",
"651","51","1","960",
"652","49","2","962",
"653","50","1","963",
"654","52","1","964",
"655","54","1","965",
"656","55","1","966",
"657","55","2","968",
"658","56","0","968",
"659","57","1","969",
"660","56","4","973",
"661","55","1","974",
"662","57","0","974",
"663","57","1","975",
"664","57","1","976",
"665","55","2","978",
"666","57","1","979",
"667","57","1","980",
"668","54","4","984",
"669","54","0","984",
"670","55","2","986",
"671","57","1","987",
"672","54","3","990",
"673","55","1","991",
"674","55","1","992",
"675","54","2","994",
"676","53","2","996",
"677","55","2","998",
"678","54","2","1000",
"679","57","0","1000",
"680","58","2","1002",
"681","56","4","1006",
"682","54","4","1010",
"683","56","1","1011",
"684","58","2","1013",
"685","59","0","1013",
"686","61","0","1013",
"687","61","2","1015",
"688","60","3","1018",
"689","60","1","1019",
"690","61","0","1019",
"691","61","1","1020",
"692","61","2","1022",
"693","61","1","1023",
"694","61","1","1024",
"695","58","6","1030",
"696","58","1","1031",
"697","60","1","1032",
"698","60","2","1034",
"699","63","0","1034",
"700","62","3","1037",
"701","63","2","1039",
"702","63","1","1040",
"703","60","6","1046",
"704","61","2","1048",
"705","60","2","1050",
"706","58","4","1054",
"707","56","3","1057",
"708","55","1","1058",
"709","55","2","1060",
"710","55","0","1060",
"711","51","5","1065",
"712","51","3","1068",
"713","52","0","1068",
"714","51","1","1069",
"715","51","2","1071",
"716","52","2","1073",
"717","51","2","1075",
"718","49","3","1078",
"719","50","1","1079",
"720","50","1","1080",
"721","50","2","1082",
"722","50","1","1083",
"723","46","6","1089",
"724","46","2","1091",
"725","48","0","1091",
"726","50","0","1091",
"727","48","2","1093",
"728","49","0","1093",
"729","47","2","1095",
"730","46","1","1096",
"731","45","2","1098",
"732","46","1","1099",
"733","50","0","1099",
"734","49","2","1101",
"735","50","0","1101",
"736","51","1","1102",
"737","50","2","1104",
"738","49","2","1106",
"739","50","0","1106",
"740","53","1","1107",
"741","54","1","1108",
"742","53","3","1111",
"743","51","3","1114",
"744","50","3","1117",
"745","50","1","1118",
"746","51","0","1118",
"747","53","2","1120",
"748","54","0","1120",
"749","52","3","1123",
"750","55","1","1124",
"751","55","3","1127",
"752","56","1","1128",
"753","55","2","1130",
"754","54","3","1133",
"755","56","0","1133",
"756","54","3","1136",
"757","56","2","1138",
"758","53","4","1142",
"759","57","0","1142",
"760","55","3","1145",
"761","52","3","1148",
"762","55","0","1148",
"763","54","2","1150",
"764","56","1","1151",
"765","57","2","1153",
"766","58","0","1153",
"767","59","1","1154",
"768","58","3","1157",
"769","57","2","1159",
"770","56","2","1161",
"771","57","0","1161",
"772","57","1","1162",
"773","56","3","1165",
"774","55","1","1166",
"775","54","1","1167",
"776","53","3","1170",
"777","54","1","1171",
"778","52","3","1174",
"779","54","2","1176",
"780","55","2","1178",
"781","56","1","1179",
"782","55","3","1182",
"783","55","0","1182",
"784","57","1","1183",
"785","57","0","1183",
"786","57","1","1184",
"787","51","6","1190",
"788","51","1","1191",
"789","50","2","1193",
"790","50","3","1196",
"791","51","1","1197",
"792","52","2","1199",
"793","51","1","1200",
"794","52","1","1201",
"795","52","3","1204",
"796","54","1","1205",
"797","55","0","1205",
"798","54","1","1206",
"799","57","0","1206",
"800","59","0","1206",
"801","55","4","1210",
"802","53","3","1213",
"803","54","0","1213",
"804","54","1","1214",
"805","51","3","1217",
"806","49","2","1219",
"807","49","2","1221",
"808","51","0","1221",
"809","51","1","1222",
"810","52","1","1223",
"811","50","2","1225",
"812","47","3","1228",
"813","44","4","1232",
"814","45","1","1233",
"815","46","0","1233",
"816","44","3","1236",
"817","46","1","1237",
"818","49","1","1238",
"819","49","0","1238",
"820","48","2","1240",
"821","49","1","1241",
"822","49","2","1243",
"823","48","1","1244",
"824","50","0","1244",
"825","49","2","1246",
"826","52","0","1246",
"827","51","1","1247",
"828","52","1","1248",
"829","50","2","1250",
"830","51","0","1250",
"831","52","3","1253",
"832","51","2","1255",
"833","51","1","1256",
"834","53","0","1256",
"835","52","3","1259",
"836","52","1","1260",
"837","52","2","1262",
"838","51","2","1264",
"839","49","4","1268",
"840","51","1","1269",
"841","52","2","1271",
"842","52","2","1273",
"843","54","0","1273",
"844","55","0","1273",
"845","53","3","1276",
"846","53","1","1277",
"847","51","4","1281",
"848","48","4","1285",
"849","49","1","1286",
"850","48","2","1288",
"851","49","0","1288",
"852","49","3","1291",
"853","47","3","1294",
"854","46","1","1295",
"855","48","1","1296",
"856","49","1","1297",
"857","49","0","1297",
"858","49","0","1297",
"859","46","3","1300",
"860","43","4","1304",
"861","44","1","1305",
"862","43","1","1306",
"863","44","1","1307",
"864","44","0","1307",
"865","44","1","1308",
"866","43","1","1309",
"867","42","2","1311",
"868","44","0","1311",
"869","45","2","1313",
"870","46","1","1314",
"871","47","3","1317",
"872","52","0","1317",
"873","50","4","1321",
"874","51","0","1321",
"875","50","1","1322",
"876","49","2","1324",
"877","48","2","1326",
"878","50","0","1326",
"879","49","1","1327",
"880","50","1","1328",
"881","47","3","1331",
"882","47","3","1334",
"883","48","2","1336",
"884","47","1","1337",
"885","48","1","1338",
"886","48","1","1339",
"887","47","3","1342",
"888","47","2","1344",
"889","49","3","1347",
"890","49","2","1349",
"891","49","2","1351",
"892","50","0","1351",
"893","48","2","1353",
"894","47","1","1354",
"895","50","1","1355",
"896","50","3","1358",
"897","51","0","1358",
"898","53","0","1358",
"899","55","1","1359",
"900","55","2","1361",
"901","55","2","1363",
"902","57","0","1363",
"903","60","1","1364",
"904","61","0","1364",
"905","62","1","1365",
"906","60","3","1368",
"907","61","1","1369",
"908","61","1","1370",
"909","62","1","1371",
"910","62","2","1373",
"911","62","1","1374",
"912","60","3","1377",
